ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
EAEA0-5A8B-7870-4738-0_t,t_PRM1989_46_9b.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-5A8B-7870-4738-0.jpg
EAEA0-5A8B-7870-4738-0_w,w_PRM1989_46_9b.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-5A8B-7870-4738-0.jpg
EAEA0-A9A8-4035-9EFB-0,PRM1989_46_9a.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_A.zip,amsd/EAEA0-A/EAEA0-A9A8-4035-9EFB-0.jpeg
EAEA0-A9A8-4035-9EFB-0_t,t_PRM1989_46_9a.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-A9A8-4035-9EFB-0.jpg
EAEA0-A9A8-4035-9EFB-0_w,w_PRM1989_46_9a.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-A9A8-4035-9EFB-0.jpg
EAEA0-E073-E533-6AAB-0,PRM1989_46_9d.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_E.zip,amsd/EAEA0-E/EAEA0-E073-E533-6AAB-0.jpeg
EAEA0-E073-E533-6AAB-0_t,t_PRM1989_46_9d.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E073-E533-6AAB-0.jpg
EAEA0-E073-E533-6AAB-0_w,w_PRM1989_46_9d.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-E073-E533-6AAB-0.jpg
EAEA0-A148-9F5D-8216-0,PRM_display05.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_A.zip,amsd/EAEA0-A/EAEA0-A148-9F5D-8216-0.jpeg
EAEA0-A148-9F5D-8216-0_t,t_PRM_display05.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-A148-9F5D-8216-0.jpg
EAEA0-A148-9F5D-8216-0_w,w_PRM_display05.jpeg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-A148-9F5D-8216-0.jpg
EAEA0-6701-58E8-9DF7-0,1889-Artefact_fig05-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_6.zip,amsd/EAEA0-6/EAEA0-6701-58E8-9DF7-0.jpg
EAEA0-6701-58E8-9DF7-0_t,t_1889-Artefact_fig05-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6701-58E8-9DF7-0.jpg
EAEA0-6701-58E8-9DF7-0_w,w_1889-Artefact_fig05-Howitt-Notes_on_Australian_message_sticks-p330-331.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-6701-58E8-9DF7-0.jpg
EAEA0-11F3-EFAC-7FB3-0,EMB-VI_NLS_4370-05.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_1.zip,amsd/EAEA0-1/EAEA0-11F3-EFAC-7FB3-0.jpg
EAEA0-11F3-EFAC-7FB3-0_t,t_EMB-VI_NLS_4370-05.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-11F3-EFAC-7FB3-0.jpg
EAEA0-11F3-EFAC-7FB3-0_w,w_EMB-VI_NLS_4370-05.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-11F3-EFAC-7FB3-0.jpg
EAEA0-7699-83B4-D603-0,EMB-VI_NLS_4370-01.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_7.zip,amsd/EAEA0-7/EAEA0-7699-83B4-D603-0.jpg
EAEA0-7699-83B4-D603-0_t,t_EMB-VI_NLS_4370-01.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-7699-83B4-D603-0.jpg
EAEA0-7699-83B4-D603-0_w,w_EMB-VI_NLS_4370-01.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-7699-83B4-D603-0.jpg
EAEA0-08AF-A950-DA0B-0,EMB-VI_NLS_4370-04.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_0.zip,amsd/EAEA0-0/EAEA0-08AF-A950-DA0B-0.jpg
EAEA0-08AF-A950-DA0B-0_t,t_EMB-VI_NLS_4370-04.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-08AF-A950-DA0B-0.jpg
EAEA0-08AF-A950-DA0B-0_w,w_EMB-VI_NLS_4370-04.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-08AF-A950-DA0B-0.jpg
EAEA0-42F6-D3F6-9230-0,EMB-VI_NLS_4370-06.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_4.zip,amsd/EAEA0-4/EAEA0-42F6-D3F6-9230-0.jpg
EAEA0-42F6-D3F6-9230-0_t,t_EMB-VI_NLS_4370-06.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-42F6-D3F6-9230-0.jpg
EAEA0-42F6-D3F6-9230-0_w,w_EMB-VI_NLS_4370-06.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-42F6-D3F6-9230-0.jpg
EAEA0-347A-A8CA-5EEF-0,EMB-VI_NLS_4370-02.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_3.zip,amsd/EAEA0-3/EAEA0-347A-A8CA-5EEF-0.jpg
EAEA0-347A-A8CA-5EEF-0_t,t_EMB-VI_NLS_4370-02.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-347A-A8CA-5EEF-0.jpg
EAEA0-347A-A8CA-5EEF-0_w,w_EMB-VI_NLS_4370-02.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-347A-A8CA-5EEF-0.jpg
EAEA0-9B8A-742F-3D69-0,EMB-VI_NLS_4370-03.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_9.zip,amsd/EAEA0-9/EAEA0-9B8A-742F-3D69-0.jpg
EAEA0-9B8A-742F-3D69-0_t,t_EMB-VI_NLS_4370-03.jpg,,image/jpeg,https://zenodo.org/records/21504350/files/amsd_media_thumbnails.zip,EAEA0-9B8A-742F-3D69-0.jpg
