pk,name,oid,path
81,y-1897-Artefact_fig03-Mathews-Message_sticks_used_by_the_Aborig2-p292_02.png,EAEA0-DE43-ECFB-C14E-0,y_1897_Artefact_fig03_Mathews_Message_sticks_used_by_the_Aborig2_p292_02.png
82,1897-Artefact_fig05-Mathews-Message_sticks_used_by_the_Aborig2-p292.JPG,EAEA0-5779-E17D-F957-0,1897_Artefact_fig05_Mathews_Message_sticks_used_by_the_Aborig2_p292.JPG
83,1897-Artefact_fig06-Mathews-Message_sticks_used_by_the_Aborig2-p292.JPG,EAEA0-5D5A-3A00-26D3-0,1897_Artefact_fig06_Mathews_Message_sticks_used_by_the_Aborig2_p292.JPG
84,1898-Artefact_fig01-Mathews-Message_Sticks-scientificamerican.JPG,EAEA0-65E3-E9A8-7500-0,1898_Artefact_fig01_Mathews_Message_Sticks_scientificamerican.JPG
85,1898-Artefact_fig02-Mathews-Message_Sticks-scientificamerican.JPG,EAEA0-4242-6825-AB7E-0,1898_Artefact_fig02_Mathews_Message_Sticks_scientificamerican.JPG
86,1898-Mathews-Message_Sticks-scientificamerican-1.pdf,EAEA0-5081-C0BB-4C42-0,1898_Mathews_Message_Sticks_scientificamerican_1.pdf
87,1940_Frank_Fig.32.png,EAEA0-1D37-88ED-FCF3-0,1940_Frank_Fig.32.png
88,y-1897-Artefact_fig05-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-5E80-4D67-BCAB-0,y_1897_Artefact_fig05_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
89,1897-Artefact_fig07-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-36FD-61D8-B4D0-0,1897_Artefact_fig07_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
90,y-1897-Artefact_fig08-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-D9F4-0A84-5E80-0,y_1897_Artefact_fig08_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
91,y-1897-Artefact_fig09-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-EBB5-726F-26CE-0,y_1897_Artefact_fig09_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
92,1897-Artefact_fig08-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-BC4A-855F-8CCC-0,1897_Artefact_fig08_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
93,1897-Artefact_fig09-Mathews-Message_sticks_used_by_the_Aborig2-p292.png,EAEA0-6A75-A557-A475-0,1897_Artefact_fig09_Mathews_Message_sticks_used_by_the_Aborig2_p292.png
94,y-1897-Artefact_fig10-Mathews-Message_sticks_used_by_the_Aborig2-p292_01.png,EAEA0-2BCE-7AFD-29C1-0,y_1897_Artefact_fig10_Mathews_Message_sticks_used_by_the_Aborig2_p292_01.png
